time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r
8.5,38.800701533345055,-40.829339128591855,-71.4008074314645,-4.166854784168909,-2.4898584148321827,-21.709786436196513,3.612750456674333,0.8531353121371212,0.19549342592649976,0.4782741444958729,-0.27323611370462747,0.31494253551250195
8.55,38.587192391462594,-40.94761158819174,-72.48515057549744,-4.372628389327083,-2.2409501016557036,-21.663000310922556,3.627468168928902,0.8726177250995918,0.18363672516106092,0.47072531768811826,-0.2764943828691079,0.3176934426140955
8.6,38.36352762975962,-41.05342668201965,-73.5670150343383,-4.573064903359764,-1.99159360142195,-21.610666849004552,3.641727879872391,0.8924145235523554,0.1718723188354697,0.46309061416788705,-0.2795774483275939,0.3204403579440446
8.65,38.129976229083454,-41.1467664382886,-74.64612764379044,-4.768080761553189,-1.7419657463040257,-21.552954772736456,3.65551782370713,0.9125117313758724,0.1601859711920069,0.4553748053763565,-0.2824833832645295,0.32318300681310475
8.700000000000001,37.88681112629204,-41.22762162466197,-75.72222376506474,-4.957601272912645,-1.492239249673975,-21.490036311212545,3.668824186551432,0.9328955495352458,0.14856087521563682,0.4475827134428619,-0.28521037156517104,0.3259211149586739
8.75,37.63430877298417,-41.2959915375812,-76.79504745042192,-5.141560520968326,-1.2425825194771065,-21.422086812979998,3.681630668390972,0.9535523618676245,0.13697726584625083,0.4397192081712176,-0.2877567089506022,0.32865440857222056
8.8,37.372748699563964,-41.35188378266197,-77.86435158954129,-5.319901249735909,-0.9931594876004199,-21.349284362612806,3.6939179498329144,0.9744687361938208,0.1254119358295856,0.4317892039962499,-0.2901208040428399,0.33138261432665983
8.85,37.102413085360716,-41.395314046958866,-78.92989803683716,-5.4925747356853325,-0.7441294552404543,-21.271809402203164,3.705663036852729,0.9956314201610074,0.11383762727252704,0.4237976569124364,-0.29230117935940575,0.3341054594036892
8.9,36.82358633548191,-41.42630586389747,-79.99145771999255,-5.659540646593021,-0.49564695421807703,-21.189844358710335,3.716838447780316,1.0170273309834534,0.10222226306305826,0.41574956137657015,-0.29429647223670324,0.3368226715210727
8.950000000000001,36.5365546650329,-41.44489037166873,-81.04881073002535,-5.820766888169663,-0.24786162413248433,-21.103573278048977,3.727411194364808,1.0386435379129035,0.09052796994162432,0.40764994718638137,-0.296105435681634,0.3395339789598621
